Amor	B-ORG
Prohibido	I-ORG
''	O
(	O
1994	O
)	O
Sus	O
mga	O
muertes	O
irrita	O
muy	O
grabe	O
le	O
nacion	O
nascente	O
y	O
formenta	O
ya	O
revolusyon	O
duce	O
ya	O
por	O
el	O
maga	O
Katipunan	B-ORG
y	O
ayuda	O
por	O
el	O
maga	O
Americanos	O
.	O
'	O
''	O
Laguindingan	O
'	O
''	O
el	O
ika	O
kwatro	O
clase	O
de	O
municipalidad	O
na	O
provincia	O
de	O
Misamis	B-LOC
Oriental	I-LOC
,	O
Filipinas	B-LOC
.	O
Manuel	B-PER
L.	I-PER
Quezon	I-PER
Chavacano	B-ORG
Prime	B-ORG
Network	I-ORG
*1975–1989	O
:	O
The	B-PER
NFL	I-PER
Today	I-PER
''	O
studio	O
host	O
3	O
Paysandú	B-LOC
(	I-LOC
ciudad	I-LOC
)	I-LOC
84,162	O
hab	O
Vicente	B-PER
Piccio	I-PER
,	I-PER
Jr	I-PER
.	I-PER
'	O
''	O
Unión	B-ORG
Europea	I-ORG
:	O
'	O
''	O
Su	O
primer	O
álbum	O
Sweet	B-ORG
Kisses	I-ORG
''	O
(	O
1999	O
)	O
llego	O
al	O
puesto	O
25	O
en	O
la	O
Cartelera	O
Billborad	O
,	O
y	O
a	O
pesar	O
de	O
que	O
no	O
debuto	O
dentro	O
del	O
Top	O
10	O
vendió	O
considerablemente	O
bien	O
.	O
'	O
''	O
Irresistible	O
''	O
'	O
es	O
el	O
segundo	O
álbum	O
de	O
la	O
cantante	O
pop	O
americana	O
Jessica	B-PER
Simpson	I-PER
,	O
publicado	O
en	O
2001	O
.	O
York	B-ORG
University	I-ORG
Ése	O
mismo	O
año	O
,	O
Christina	O
Aguilera	O
junto	O
Pink	O
,	O
Mya	O
,	O
Lil	O
'	O
Kim	O
y	O
la	O
colaboración	O
de	O
Missy	O
Elliott	O
,	O
formaron	O
parte	O
de	O
la	O
banda	O
sonora	O
de	O
la	O
película	O
''Moulin	O
Rouge	O
''	O
con	O
el	O
exitoso	O
''cover	O
''	O
de	O
los	O
años	O
setenta	O
titulado	O
Lady	B-ORG
Marmalade	I-ORG
''	O
.	O
'	O
''	O
Kolambugan	O
'	O
''	O
el	O
ika	O
kwatro	O
clase	O
de	O
municipalidad	O
na	O
provincia	O
de	O
Lanao	B-LOC
del	I-LOC
Norte	I-LOC
,	O
Filipinas	B-LOC
.	O
'	O
''	O
Alcala	O
'	O
''	O
el	O
ika	O
tres	O
clase	O
de	O
municipalidad	O
na	O
provincia	O
de	O
Cagayan	B-LOC
,	O
Filipinas	B-LOC
.	O
'	O
''	O
Balayan	O
'	O
''	O
el	O
primero	O
clase	O
de	O
municipalidad	O
na	O
provincia	O
de	O
Batangas	B-LOC
,	O
Filipinas	B-LOC
.	O
Si	O
Bonifacio	O
y	O
el	O
su	O
faccion	O
del	O
maga	O
“Magdiwang”	O
ya	O
enfrenta	O
contra	O
el	O
otro	O
facción	O
,	O
el	O
maga	O
“Magdalos”	O
,	O
dirigido	O
por	O
